#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,,,,,
38,South Africa,"4,069,578",,"102,595                                ",,"3,912,506",,"54,477",192,"66,982","1,689","26,795,090","441,027","60,756,135 ",Africa,,155922,,,,,
39,Romania,"3,352,356",,"67,773                                ",,"3,272,569",,"12,014",117,"176,149","3,561","26,825,878","1,409,564","19,031,335 ",Europe,,62811,,,,,
40,Denmark,"3,176,453",,"8,324                                ",,"3,167,008",,"1,121",19,"544,384","1,427","129,217,380","22,145,413","5,834,950 ",Europe,,27010,,,,,
41,Hong Kong,"2,884,131",,"13,472                                ",,"2,866,489",,"4,170",28,"379,276","1,772","76,127,725","10,011,143","7,604,299 ",Asia,,35640,,,,,
42,Sweden,"2,700,231",,"23,785                                ",,"2,673,259",,"3,187",7,"264,237","2,328","19,493,349","1,907,565","10,218,971 ",Europe,,44301,,,,,
43,Serbia,"2,505,902",,"17,910                                ",,"2,472,900",,"15,092",21,"289,599","2,070","12,519,651","1,446,854","8,653,016 ",Europe,,34831,,,,,
44,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,,"171,6622",,,,,
45,New Zealand,"2,239,800",,"3,944                                ",,"2,225,733",,"10,123",,"457,270",805,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,,"21,2421",,,,,
46,Singapore,"2,234,996",,"1,722                                ",,"2,149,583",,"83,691",1,"376,037",290,"24,756,666","4,165,302","5,943,546 ",Asia,,"33,4520",,,,,
47,Hungary,"2,197,820",,"48,775                                ",,"2,144,382",,"4,663",8,"228,790","5,077","11,394,556","1,186,160","9,606,259 ",Europe,,41971,,,,,
48,Bangladesh,"2,037,947",,"29,445                                ",,"1,998,448",,"10,054",N/A,"12,139",175,"15,254,399","90,862","167,885,689 ",Asia,,"825,70211",,,,,
49,Slovakia,"1,864,447",,"21,053                                ",,"1,842,062",,"1,332",25,"341,462","3,856","7,411,274","1,357,328","5,460,193 ",Europe,,32591,,,,,
50,Georgia,"1,830,021",,"16,986                                ",,"1,776,548",,"36,487",,"461,109","4,280","16,920,079","4,263,340","3,968,738 ",Asia,,22340,,,,,
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,,,
52,Ireland,"1,704,502",,"8,708                                ",,"1,693,890",+75,"1,904",8,"339,529","1,735","13,046,725","2,598,846","5,020,199 ",Europe,,35770,,,,,
53,Pakistan,"1,578,047",+133,"30,645                                ",,"1,538,689",,"8,713",15,"6,876",134,"30,570,862","133,213","229,488,994 ",Asia,,"1457,4898",0.6,,,,
54,Norway,"1,479,902",,"5,213                                ",,"1,473,819",,870,20,"268,518",946,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,0571",,,,,
55,Finland,"1,464,294",,"8,990                                ",,"1,453,053",,"2,251",21,"263,601","1,618","12,061,906","2,171,376","5,554,960 ",Europe,,46180,,,,,
56,Kazakhstan,"1,408,973",,"13,847                                ",,"1,383,020",,"12,106",24,"73,365",721,"11,575,012","602,707","19,205,043 ",Asia,,"141,3872",,,,,
57,Slovenia,"1,334,644",,"7,084                                ",,"1,322,005",,"5,555",4,"642,263","3,409","2,842,983","1,368,112","2,078,034 ",Europe,,22931,,,,,
58,Lithuania,"1,310,045",,"9,607                                ",,"1,294,120",,"6,318",5,"492,182","3,609","10,397,039","3,906,153","2,661,708 ",Europe,,22770,,,,,
59,Bulgaria,"1,298,238",,"38,233                                ",,"1,256,989",,"3,016",30,"189,673","5,586","11,091,175","1,620,428","6,844,597 ",Europe,,51791,,,,,
60,Morocco,"1,272,526",,"16,296                                ",,"1,256,151",,79,3,"33,689",431,"12,995,267","344,038","37,772,756 ",Africa,,"302,3183",,,,,
61,Croatia,"1,269,687",,"18,006                                ",,"1,251,200",,481,8,"312,786","4,436","5,530,633","1,362,464","4,059,286 ",Europe,,32251,,,,,
62,Guatemala,"1,240,080",,"20,183                                ",,"1,218,885",,"1,012",5,"66,728","1,086","7,017,755","377,623","18,584,039 ",North America,,159213,,,,,
63,Lebanon,"1,233,312",,"10,848                                ",,"1,087,587",,"134,877",74,"184,494","1,623","4,795,578","717,380","6,684,849 ",Asia,,56161,,,,,
64,Costa Rica,"1,214,651",,"9,266                                ",,"860,711",,"344,674",52,"234,382","1,788","4,659,757","899,158","5,182,354 ",North America,,45591,,,,,
65,Bolivia,"1,194,890",,"22,367                                ",,"1,161,946",,"10,577",220,"99,635","1,865","2,705,422","225,590","11,992,656 ",South America,,105364,,,,,
66,Tunisia,"1,151,333",,"29,345                                ",,N/A,N/A,N/A,44,"95,573","2,436","5,003,956","415,381","12,046,656 ",Africa,,104112,,,,,
67,Cuba,"1,112,685",,"8,530                                ",,"1,104,070",,85,2,"98,418",754,"14,324,663","1,267,036","11,305,652 ",North America,,"101,3251",,,,,
68,Ecuador,"1,057,608",,"36,015                                ",,"1,020,563",,"1,030",759,"58,388","1,988","3,082,403","170,173","18,113,361 ",South America,,175036,,,,,
69,UAE,"1,054,423",,"2,349                                ",,"1,036,595",,"15,479",,"104,587",233,"199,534,914","19,791,626","10,081,785 ",Asia,,"104,2920",,,,,
70,Uruguay,"1,035,046",,"7,619                                ",,"1,026,854",,573,18,"296,064","2,179","6,114,822","1,749,083","3,496,016 ",South America,,34591,,,,,
71,Panama,"1,032,237",,"8,611                                ",,"1,022,929",,697,16,"232,122","1,936","7,563,087","1,700,730","4,446,964 ",North America,,45161,,,,,
72,Mongolia,"1,007,907",,"2,179                                ",,"1,005,718",,10,192,"298,367",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,,,
73,Nepal,"1,001,172",,"12,020                                ",,"989,135",,17,,"33,123",398,"6,015,933","199,034","30,225,582 ",Asia,,"302,5155",,,,,
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,,,
75,Latvia,"976,433",,"6,259                                ",,"969,785",,389,13,"528,134","3,385","7,867,568","4,255,415","1,848,837 ",Europe,,22950,,,,,
76,Saudi Arabia,"831,000",,"9,623                                ",,"817,653",,"3,724",52,"23,183",268,"45,203,253","1,261,079","35,844,909 ",Asia,,"433,7251",,,,,
77,Azerbaijan,"829,076",,"10,147                                ",,"818,672",,257,,"80,491",985,"7,545,086","732,518","10,300,205 ",Asia,,"121,0151",,,,,
78,Paraguay,"808,507",,"19,880                                ",,N/A,N/A,N/A,7,"110,666","2,721","2,657,506","363,751","7,305,843 ",South America,,93673,,,,,
79,Bahrain,"712,964",,"1,555                                ",,"708,582",,"2,827",7,"399,647",872,"10,760,503","6,031,730","1,783,983 ",Asia,,"31,1470",,,,,
80,Sri Lanka,"672,048",,"16,831                                ",,"655,208",,9,,"31,148",780,"6,486,117","300,619","21,575,842 ",Asia,,"321,2823",,,,,
81,Kuwait,"664,402",,"2,570                                ",,"660,237",,"1,595",,"151,679",587,"8,455,743","1,930,391","4,380,326 ",Asia,,"71,7041",,,,,
82,Dominican Republic,"660,848",,"4,384                                ",,"644,785",,"11,679",4,"59,771",397,"3,740,928","338,350","11,056,370 ",North America,,"172,5223",,,,,
83,Tuvalu,"2,805",, ,,,,"2,805",,"232,471",,,,"12,066 ",Australia/Oceania,,4,,,,,
83,Cyprus,"652,386",,"1,335                                ",,"645,696",,"5,355",60,"533,262","1,091","9,640,118","7,879,860","1,223,387 ",Asia,,29160,,,,,
84,Myanmar,"633,975",,"19,490                                ",,"614,459",,26,,"11,479",353,"10,118,339","183,213","55,227,143 ",Asia,,"872,8345",,,,,
