#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,,,,,
172,Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"34,077",212,,,"721,159 ",Australia/Oceania,,"294,713",,,,,
173,Micronesia,"24,195",,63                                ,,N/A,N/A,N/A,1,"205,934",536,"54,967","467,848","117,489 ",Australia/Oceania,,"51,8652",,,,,
174,San Marino,"23,663",,122                                ,,"23,506",,35,4,"694,235","3,579","157,634","4,624,732","34,085 ",Europe,,12790,,,,,
175,Timor-Leste,"23,419",,138                                ,,"23,102",,179,,"17,101",101,"278,529","203,391","1,369,429 ",Asia,,"589,9235",,,,,
176,Burkina Faso,"22,056",,396                                ,,"21,596",,64,,998,18,"248,995","11,265","22,102,838 ",Africa,,"1,00255,81589",,,,,
177,Liechtenstein,"21,434",,89                                ,,"21,339",,6,4,"558,366","2,318","112,457","2,929,559","38,387 ",Europe,,24310,,,,,
178,Gibraltar,"20,462",,111                                ,,"16,579",,"3,772",,"607,109","3,293","534,283","15,852,213","33,704 ",Europe,,23040,,,,,
179,Grenada,"19,680",,238                                ,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523","113,475 ",North America,,64771,,,,,
180,Bermuda,"18,836",,161                                ,,"18,669",,6,,"304,106","2,599","1,028,644","16,607,372","61,939 ",North America,,33850,,,,,
181,Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"2,728",33,,,"6,779,100 ",North America,,"36730,129",,,,,
182,South Sudan,"18,368",,138                                ,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511 ",Africa,,"63384,19228",,,,,
183,Tajikistan,"17,786",,125                                ,,"17,264",,397,,"1,786",13,,,"9,957,464 ",Asia,,"56079,660",,,,,
184,Equatorial Guinea,"17,229",,183                                ,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662 ",Africa,,"878,1784",,,,,
185,Tonga,"16,812",,13                                ,,"15,638",,"1,161",,"156,029",121,"535,009","4,965,327","107,749 ",Australia/Oceania,,"68,2880",,,,,
186,Samoa,"16,607",,29                                ,,"1,605",,"14,973",,"82,116",143,"187,397","926,612","202,239 ",Australia/Oceania,,"126,9741",,,,,
187,Monaco,"16,129",,67                                ,,"15,992",,70,4,"405,424","1,684","78,646","1,976,875","39,783 ",Europe,,25941,,,,,
188,Dominica,"15,760",,74                                ,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344 ",North America,,59780,,,,,
189,Djibouti,"15,690",,189                                ,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097 ",Africa,,"655,3763",,,,,
190,Marshall Islands,"15,649",,17                                ,,"15,528",,104,,"260,569",283,,,"60,057 ",Australia/Oceania,,"43,533",,,,,
191,CAR,"15,368",,113                                ,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678 ",Africa,,"32644,39562",,,,,
192,Gambia,"12,598",,372                                ,,"12,189",,37,,"4,924",145,"155,686","60,851","2,558,482 ",Africa,,"2036,87816",,,,,
193,Saint Martin,"12,271",,63                                ,,"1,399",,"10,809",7,"308,860","1,586","112,382","2,828,643","39,730 ",North America,,36310,,,,,
194,Vanuatu,"12,014",,14                                ,,"11,976",,24,,"37,330",44,"24,976","77,606","321,832 ",Australia/Oceania,,"2722,98813",,,,,
195,Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973 ",North America,,"52,7130",,,,,
196,Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867 ",Asia,,"2,60814,43095",,,,,
197,Caribbean Netherlands,"11,682",,38                                ,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559","26,647 ",North America,,27011,,,,,
198,Sint Maarten,"11,023",,91                                ,,"10,905",,27,N/A,"250,716","2,070","62,056","1,411,454","43,966 ",North America,,44831,,,,,
199,Eritrea,"10,189",,103                                ,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244 ",Africa,,"35935,556155",,,,,
200,Niger,"9,931",,312                                ,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660 ",Africa,,"2,62683,601102",,,,,
201,St. Vincent Grenadines,"9,593",,124                                ,,"9,466",,3,,"85,997","1,112","113,771","1,019,901","111,551 ",North America,,129001,,,,,
202,Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509 ",North America,,116825,,,,,
203,Comoros,"9,048",,161                                ,,"8,838",,49,,"9,971",177,,,"907,419 ",Africa,,"1005,636",,,,,
204,Guinea-Bissau,"8,960",,176                                ,,"8,660",,124,6,"4,342",85,"145,231","70,385","2,063,367 ",Africa,,"23011,72414",,,,,
205,Liberia,"8,090",,295                                ,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117 ",Africa,,"65617,98338",,,,,
206,Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436 ",Africa,,"1,07065,92432",,,,,
207,Chad,"7,682",,194                                ,,"4,874",,"2,614",,441,11,"191,341","10,988","17,413,580 ",Africa,,"2,26789,76191",,,,,
208,British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596 ",North America,,44780,,,,,
209,Cook Islands,"7,033",,2                                ,,"7,030",,1,,"400,262",114,"19,690","1,120,596","17,571 ",Australia/Oceania,,"28,7861",,,,,
210,Saint Kitts and Nevis,"6,597",,48                                ,,"6,549",,0,,"122,459",891,"126,935","2,356,277","53,871 ",North America,,"81,1220",,,,,
211,Turks and Caicos,"6,561",,38                                ,,"6,504",,19,4,"165,094",956,"612,335","15,408,143","39,741 ",North America,,"61,0460",,,,,
212,Sao Tome and Principe,"6,296",,77                                ,,"6,204",,15,,"27,653",338,"29,036","127,530","227,679 ",Africa,,"362,9578",,,,,
213,Palau,"5,994",,9                                ,,"5,985",,0,,"328,745",494,"69,272","3,799,265","18,233 ",Australia/Oceania,,"32,0260",,,,,
214,St. Barth,"5,441",,6                                ,,N/A,N/A,N/A,,"547,109",603,"78,646","7,908,095","9,945 ",North America,,"21,6580",,,,,
215,Nauru,"5,393",,1                                ,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903 ",Australia/Oceania,,"210,9031",,,,,
216,Kiribati,"5,014",,18                                ,,"2,703",,"2,293",3,"40,626",146,,,"123,419 ",Australia/Oceania,,"256,857",,,,,
217,Anguilla,"3,904",,12                                ,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230 ",North America,,"41,2690",,,,,
218,Macao,"3,514",,121                                ,,"3,392",,1,,"5,264",181,"7,850","11,760","667,490 ",Asia,,"1905,51685",,,,,
219,Saint Pierre Miquelon,"3,452",,2                                ,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759 ",North America,,"22,8800",,,,,
220,Wallis and Futuna,"3,427",,7                                ,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982 ",Australia/Oceania,,"31,5691",,,,,
83,Tuvalu,"2,805",, ,,,,"2,805",,"232,471",,,,"12,066 ",Australia/Oceania,,4,,,,,
229,MS Zaandam,9,,2                                ,,7,,0,,,,,, ,,,,,,,,
230,Tokelau,5,, ,,,,5,,"3,628",,,,"1,378 ",Australia/Oceania,,276,,,,,
231,China,"503,302",,"5,272                                ",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400                                ",Asia,,"2,878274,7489",,,,,
,Total:,"125,161,379",,"1,617,064",,"120,624,773",,"2,919,542","7,407",,,,,,North America,, ,,,,,
,Total:,"214,867,591","+9,198","1,539,066",+7,"199,457,636","+3,972","13,870,889","15,559",,,,,,Asia,, ,,,,,
,Total:,"247,153,770",,"2,024,428",,"242,729,459",,"2,399,883","6,461",,,,,,Europe,, ,,,,,
,Total:,"68,163,123",,"1,351,582",,"66,345,433",,"466,108","10,179",,,,,,South America,, ,,,,,
,Total:,"14,039,354",,"26,245",,"13,873,185",,"139,924",55,,,,,,Australia/Oceania,, ,,,,,
,Total:,"12,803,925",,"258,622",,"12,078,373",,"466,930",548,,,,,,Africa,, ,,,,,
,Total:,"682,189,863","+9,198","6,817,022",+7,"655,109,565","+11,902","20,263,276","40,209","87,518.6",874.6,,,,All,,,,,,,
