S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
75,JBBL,276.50,2.50,0.91,274.00,278.00,274.00,"5,359.00",274.00
76,JBLB,"1,800.00",-30.00,-1.64,"1,830.00","1,855.00","1,800.00","3,846.00","1,830.00"
77,JFL,383.00,3.00,0.79,386.00,388.00,381.00,"2,600.00",380.00
78,JOSHI,273.80,-5.10,-1.83,273.40,279.00,273.40,"10,786.00",278.90
79,JSLBB,"1,115.00",15.00,1.36,"1,079.10","1,165.00","1,079.10",463.00,"1,100.00"
80,KBL,177.00,-1.00,-0.56,179.00,179.00,175.70,"40,979.00",178.00
81,KDBY,7.90,-0.01,-0.13,7.85,7.90,7.85,210.00,7.91
82,KEF,7.78,-0.04,-0.51,7.82,7.82,7.78,680.00,7.82
83,KKHC,248.00,1.00,0.40,249.90,251.00,248.00,"6,946.00",247.00
84,KLBS,967.00,-31.50,-3.15,979.00,979.00,960.00,115.00,998.50
85,KLBSL,676.30,9.90,1.49,679.70,700.00,676.30,96.00,666.40
86,KMCDB,784.00,0.00,0.00,785.00,795.00,781.00,647.00,784.00
87,KPCL,385.00,0.00,0.00,385.00,385.00,384.00,394.00,385.00
88,KRBL,274.50,5.10,1.89,274.00,274.50,269.20,"3,930.00",269.40
89,KSBBL,312.10,-1.00,-0.32,317.00,318.90,312.00,"1,371.00",313.10
90,LBBL,333.90,4.80,1.46,335.00,335.00,332.00,"1,246.00",329.10
91,LBL,180.00,0.00,0.00,182.00,183.00,180.00,"10,707.00",180.00
92,LEC,284.10,-2.90,-1.01,282.00,289.00,281.00,"1,960.00",287.00
93,LEMF,8.65,-0.17,-1.93,8.65,8.65,8.65,"8,000.00",8.82
94,LICN,"1,361.00",0.00,0.00,"1,378.00","1,378.00","1,361.00","1,201.00","1,361.00"
95,LLBS,687.10,-11.50,-1.65,711.50,711.50,687.10,138.00,698.60
96,LUK,7.96,0.17,2.18,7.80,7.96,7.80,"7,300.00",7.79
97,MBJC,314.10,2.00,0.64,310.00,318.00,307.50,"3,720.00",312.10
98,MBL,224.00,0.00,0.00,227.00,227.00,224.00,"15,269.00",224.00
99,MDB,368.00,7.00,1.94,367.00,368.00,365.00,"1,160.00",361.00
100,MEN,775.00,17.00,2.24,750.00,775.00,750.00,599.00,758.00
101,MERO,561.10,5.00,0.90,565.00,565.00,554.00,"1,022.00",556.10
102,MFIL,449.50,4.70,1.06,448.00,453.60,448.00,"4,645.00",444.80
103,MHL,383.20,-3.30,-0.85,380.00,387.60,380.00,565.00,386.50
104,MHNL,300.00,4.00,1.35,293.50,301.20,293.50,"4,791.00",296.00
105,MKJC,447.00,0.10,0.02,438.90,455.00,438.70,"1,890.00",446.90
106,MKLB,718.00,-13.90,-1.90,718.00,761.00,718.00,95.00,731.90
107,MLBL,313.30,3.00,0.97,314.00,317.00,313.00,"4,204.00",310.30
108,MLBS,900.00,53.00,6.26,863.90,931.70,863.90,"2,477.00",847.00
109,MLBSL,"2,120.00",20.00,0.95,"2,139.00","2,139.00","2,100.10",452.00,"2,100.00"
110,MMF1,7.05,0.03,0.43,7.01,7.14,7.01,601.00,7.02
111,MMFDB,604.50,-5.50,-0.90,610.10,617.10,604.50,408.00,610.00
112,MNBBL,390.00,3.00,0.78,390.00,395.00,387.00,"4,695.00",387.00
113,MPFL,333.00,8.00,2.46,320.30,338.10,320.30,802.00,325.00
114,MSLB,870.00,-5.00,-0.57,862.00,870.00,860.00,195.00,875.00
115,NABBC,419.70,6.60,1.60,419.70,419.70,419.70,35.00,413.10
116,NABIL,608.00,2.00,0.33,607.00,613.70,606.50,"23,179.00",606.00
117,NADEP,538.00,-2.00,-0.37,550.00,550.00,534.20,451.00,540.00
118,NBF2,8.00,0.14,1.78,8.00,8.00,8.00,"3,850.00",7.86
119,NBF3,7.30,-0.10,-1.35,7.30,7.40,7.30,"7,852.00",7.40
120,NBL,261.00,-0.90,-0.34,265.00,265.00,260.70,"12,969.00",261.90
121,NBLD85,775.00,5.00,0.65,775.00,775.00,775.00,25.00,770.00
122,NBLD87,732.00,-10.00,-1.35,732.00,732.00,732.00,25.00,742.00
123,NEF,8.75,-0.02,-0.23,8.75,8.75,8.75,140.00,8.77
124,NESDO,"2,350.50",-39.40,-1.65,"2,423.00","2,423.00","2,350.50",461.00,"2,389.90"
125,NFS,301.10,2.60,0.87,302.00,305.00,301.00,"6,449.00",298.50
126,NGPL,280.00,4.00,1.45,280.00,282.00,276.00,"21,533.00",276.00
127,NHDL,407.00,-1.00,-0.25,402.00,414.90,392.10,"2,144.00",408.00
128,NHPC,245.00,2.00,0.82,245.00,248.00,245.00,"15,676.00",243.00
129,NIBLPF,8.70,0.16,1.87,8.70,8.70,8.70,100.00,8.54
130,NIBSF2,7.55,0.05,0.67,7.50,7.55,7.50,600.00,7.50
131,NICA,734.00,-8.00,-1.08,749.00,749.00,734.00,"47,173.00",742.00
132,NICBF,8.31,-0.06,-0.72,8.30,8.31,8.30,300.00,8.37
133,NICFC,7.73,0.05,0.65,7.66,7.85,7.66,"1,800.00",7.68
134,NICGF,8.89,-0.03,-0.34,8.89,8.89,8.89,200.00,8.92
135,NICL,516.10,0.10,0.02,523.00,524.90,516.10,"3,775.00",516.00
136,NICLBSL,566.00,-2.90,-0.51,560.00,576.00,560.00,402.00,568.90
137,NICSF,7.71,0.00,0.00,7.65,7.71,7.65,"2,823.00",7.71
138,NIFRA,219.00,0.00,0.00,217.50,221.90,217.00,"25,043.00",219.00
139,NIL,770.00,3.00,0.39,769.00,770.00,760.10,"1,476.00",767.00
140,NIMB,192.00,1.10,0.58,192.00,194.00,190.20,"14,322.00",190.90
141,NLBBL,590.00,-6.00,-1.01,604.00,604.00,590.00,774.00,596.00
142,NLG,679.20,19.10,2.89,649.10,684.00,649.00,"1,993.00",660.10
143,NLIC,655.00,3.00,0.46,652.00,665.00,652.00,"15,424.00",652.00
144,NLICL,559.00,1.10,0.20,565.00,565.00,558.90,"7,865.00",557.90
145,NMB,220.80,-0.10,-0.05,221.00,223.00,220.00,"5,260.00",220.90
146,NMB50,8.93,0.00,0.00,9.10,9.10,8.93,"3,450.00",8.93
147,NMBHF1,9.65,0.04,0.42,9.65,9.65,9.65,"3,000.00",9.61
148,NMBMF,557.00,9.00,1.64,557.00,569.00,557.00,"1,775.00",548.00
149,NMFBS,"1,715.00",15.00,0.88,"1,700.00","1,720.00","1,700.00",448.00,"1,700.00"
150,NRIC,739.00,12.90,1.78,738.90,783.30,726.20,"14,716.00",726.10
151,NRN,458.00,1.00,0.22,448.10,461.00,448.10,835.00,457.00
152,NSLB,709.00,30.90,4.56,691.60,716.00,691.60,"1,654.00",678.10
153,NTC,818.00,1.00,0.12,828.90,828.90,818.00,"2,509.00",817.00
154,NUBL,592.00,-4.80,-0.80,600.00,600.00,592.00,"4,092.00",596.80
155,NYADI,329.00,1.70,0.52,325.10,339.00,325.10,"1,370.00",327.30
156,OHL,531.00,-5.00,-0.93,544.00,544.00,530.00,684.00,536.00
157,PBD88,805.00,0.00,0.00,805.00,805.00,805.00,25.00,805.00
158,PCBL,202.90,1.00,0.50,200.00,203.80,200.00,"6,569.00",201.90
159,PFL,381.00,7.90,2.12,380.00,387.00,380.00,"2,303.00",373.10
160,PHCL,363.00,0.30,0.08,357.00,367.00,357.00,"5,390.00",362.70
161,PICL,395.00,-4.00,-1.00,400.00,400.00,395.00,"3,928.00",399.00
162,PLI,423.00,-5.00,-1.17,421.00,444.00,421.00,"2,684.00",428.00
163,PLIC,404.00,3.00,0.75,407.90,409.00,404.00,"1,627.00",401.00
164,PMHPL,247.00,-0.90,-0.36,250.00,251.00,246.10,"1,295.00",247.90
165,PPCL,353.00,-1.90,-0.54,348.50,355.30,348.40,"4,868.00",354.90
166,PPL,307.00,-0.90,-0.29,313.00,313.80,306.80,"5,330.00",307.90
167,PRIN,475.00,2.00,0.42,476.00,477.00,475.00,"1,610.00",473.00
168,PROFL,333.00,2.10,0.63,335.00,339.00,333.00,851.00,330.90
169,PRVU,179.00,0.90,0.51,178.20,180.30,177.00,"24,955.00",178.10
170,PSF,7.82,0.07,0.90,7.79,7.82,7.79,700.00,7.75
171,RADHI,266.00,4.00,1.53,262.10,270.00,262.10,"13,238.00",262.00
172,RBCL,"12,750.00",0.00,0.00,"12,750.00","12,750.00","12,750.00",10.00,"12,750.00"
